School District,Student Name,Student ID,Race,Student Gender,ZipCode,% present fall,% present spring
High School - District A,"LastName, FirstName",71533517131,W,1,555444,96.78%,98.25
Intermediate School - District A,"LastName, FirstName",71533797999,W,1,555444,98.54%,97.66
Primary School - District A,"LastName, FirstName",71535115919,B,2,555444,99.71%,92.98
High School - District A,"LastName, FirstName",71535199377,W,2,555444,94.15%,93.86
High School - District A,"LastName, FirstName",71535357951,W,2,555444,98.25%,95.32
Primary School - District A,"LastName, FirstName",71535531139,W,1,555444,97.66%,92.11
High School - District A,"LastName, FirstName",71537395577,B,1,555444,94.15%,96.2
High School - District A,"LastName, FirstName",71537733915,A,2,555444,98.25%,96.49
High School - District A,"LastName, FirstName",71539137351,W,2,555444,98.25%,88.6
High School - District A,"LastName, FirstName",71539535533,W,2,555444,97.08%,97.08
Primary School - District A,"LastName, FirstName",71539953991,B,1,555444,96.78%,94.15
Intermediate School - District A,"LastName, FirstName",71539977951,W,2,555444,95.91%,94.74
Intermediate School - District A,"LastName, FirstName",71551159171,A,1,555444,98.54%,91.23
High School - District A,"LastName, FirstName",71551333797,W,1,555444,97.08%,93.86
High School - District A,"LastName, FirstName",71551375335,W,2,555444,95.03%,97.08
Primary School - District A,"LastName, FirstName",71551531599,W,1,555444,97.95%,99.12
Primary School - District A,"LastName, FirstName",71551739331,W,2,555444,100.00%,95.61
Primary School - District A,"LastName, FirstName",71553973557,W,1,555444,98.54%,99.42
Primary School - District A,"LastName, FirstName",71555355173,W,1,555444,96.49%,94.15
Primary School - District A,"LastName, FirstName",71557115577,A,2,555444,92.98%,98.25
High School - District A,"LastName, FirstName",71557135915,W,2,555444,92.98%,97.66
Middle School - District A,"LastName, FirstName",71557595179,W,1,555444,98.25%,96.49
Middle School - District A,"LastName, FirstName",71557953577,H,1,555444,95.32%,95.61
Middle School - District A,"LastName, FirstName",71557993119,W,1,555444,91.52%,96.78
Intermediate School - District A,"LastName, FirstName",71559197751,I,1,555444,97.08%,97.08
Middle School - District A,"LastName, FirstName",71559799759,A,2,555444,99.12%,95.32
Middle School - District A,"LastName, FirstName",71559911915,W,2,555444,96.78%,98.25
Middle School - District A,"LastName, FirstName",71571795733,W,1,555444,93.86%,99.42
Middle School - District A,"LastName, FirstName",71573319357,W,1,555444,96.78%,97.08
High School - District A,"LastName, FirstName",71573377371,W,2,555444,93.86%,92.98
Intermediate School - District A,"LastName, FirstName",71573753177,W,1,555444,96.49%,98.54
Primary School - District A,"LastName, FirstName",71573771315,B,1,555444,94.74%,94.74
Middle School - District A,"LastName, FirstName",71573793353,H,1,555444,94.15%,92.4
Primary School - District A,"LastName, FirstName",71575135999,I,1,555444,86.84%,93.27
High School - District A,"LastName, FirstName",71575913553,W,1,555444,99.12%,99.42
Primary School - District A,"LastName, FirstName",71577171717,W,2,555444,94.15%,98.54
Middle School - District A,"LastName, FirstName",71577175195,I,2,555444,97.95%,95.32
High School - District A,"LastName, FirstName",71577533119,W,2,555444,94.15%,91.81
Primary School - District A,"LastName, FirstName",71579931737,W,1,555444,97.95%,97.66
Primary School - District A,"LastName, FirstName",71591319951,W,2,555444,99.42%,99.42
Middle School - District A,"LastName, FirstName",71591591379,W,1,555444,96.49%,99.42
Primary School - District A,"LastName, FirstName",71593571557,W,2,555444,94.74%,98.25
Primary School - District A,"LastName, FirstName",71593977399,W,2,555444,93.57%,95.32
High School - District A,"LastName, FirstName",71595191771,W,1,555444,97.66%,98.54
Middle School - District A,"LastName, FirstName",71595591553,W,2,555444,91.81%,98.25
Primary School - District A,"LastName, FirstName",71597191199,W,1,555444,94.44%,95.32
High School - District A,"LastName, FirstName",71597539571,W,1,555444,94.44%,97.66
Primary School - District A,"LastName, FirstName",71597791319,W,2,555444,96.49%,96.49
Middle School - District A,"LastName, FirstName",71711557179,W,1,555444,93.86%,97.37
Primary School - District A,"LastName, FirstName",71711571113,B,1,555444,94.44%,96.78
Primary School - District A,"LastName, FirstName",71711739751,W,2,555444,95.61%,97.08
High School - District A,"LastName, FirstName",71713133957,W,2,555444,96.78%,95.32
Primary School - District A,"LastName, FirstName",71713139779,W,1,555444,97.95%,97.08
Primary School - District A,"LastName, FirstName",71713513111,W,2,555444,99.12%,98.25
Primary School - District A,"LastName, FirstName",71715355793,B,1,555444,88.30%,97.08
Intermediate School - District A,"LastName, FirstName",71719717397,W,2,555444,96.20%,92.98
Middle School - District A,"LastName, FirstName",71731913597,W,1,555444,88.30%,96.49
Middle School - District A,"LastName, FirstName",71733377959,W,1,555444,94.74%,98.25
Middle School - District A,"LastName, FirstName",71733713131,B,1,555444,97.08%,98.54
Primary School - District A,"LastName, FirstName",71735199557,W,1,555444,94.15%,97.66
Primary School - District A,"LastName, FirstName",71735711377,W,1,555444,99.71%,98.54
Intermediate School - District A,"LastName, FirstName",71739139159,W,1,555444,93.86%,100
Primary School - District A,"LastName, FirstName",71739337137,W,2,555444,96.78%,99.42
Intermediate School - District A,"LastName, FirstName",71751315753,W,2,555444,96.49%,100
Middle School - District A,"LastName, FirstName",71751533395,W,1,555444,96.20%,96.78
Middle School - District A,"LastName, FirstName",71751555177,W,1,555444,94.15%,97.08
Primary School - District A,"LastName, FirstName",71753111577,W,1,555444,96.49%,94.44
Middle School - District A,"LastName, FirstName",71753313773,W,1,555444,99.12%,98.54
High School - District A,"LastName, FirstName",71755517957,W,1,555444,94.44%,91.23
High School - District A,"LastName, FirstName",71755953955,W,1,555444,96.49%,97.37
Intermediate School - District A,"LastName, FirstName",71757353539,W,2,555444,96.78%,93.57
Middle School - District A,"LastName, FirstName",71757395577,W,1,555444,98.25%,98.54
Middle School - District A,"LastName, FirstName",71757515913,A,1,555444,99.12%,96.49
Primary School - District A,"LastName, FirstName",71759197393,B,2,555444,99.71%,91.81
Intermediate School - District A,"LastName, FirstName",71759793151,W,2,555444,97.95%,98.54
Primary School - District A,"LastName, FirstName",71771391791,W,1,555444,98.25%,99.71
High School - District A,"LastName, FirstName",71773539137,W,1,555444,93.57%,97.37
Primary School - District A,"LastName, FirstName",71775359355,W,2,555444,100.00%,98.25
Primary School - District A,"LastName, FirstName",71775393537,B,2,555444,94.15%,97.66
High School - District A,"LastName, FirstName",71775939739,W,1,555444,95.32%,90.35
Primary School - District A,"LastName, FirstName",71775979191,W,2,555444,100.00%,96.2
Middle School - District A,"LastName, FirstName",71777715119,B,2,555444,99.12%,96.49
High School - District A,"LastName, FirstName",71777919317,W,1,555444,96.78%,94.44
Middle School - District A,"LastName, FirstName",71779317555,W,1,555444,97.95%,93.27
Intermediate School - District A,"LastName, FirstName",71779799313,B,1,555444,96.78%,99.12
Primary School - District A,"LastName, FirstName",71791775997,W,1,555444,99.12%,93.57
Primary School - District A,"LastName, FirstName",71791971579,W,1,555444,97.66%,95.03
Middle School - District A,"LastName, FirstName",71793915557,W,2,555444,99.12%,96.2
High School - District A,"LastName, FirstName",71795133191,W,2,555444,96.20%,98.54
High School - District A,"LastName, FirstName",71795153311,W,2,555444,95.32%,94.74
Primary School - District A,"LastName, FirstName",71795571373,W,2,555444,93.27%,100
High School - District A,"LastName, FirstName",71797515917,W,2,555444,95.32%,99.71
High School - District A,"LastName, FirstName",71797571117,W,1,555444,97.08%,99.12
Middle School - District A,"LastName, FirstName",71797717513,W,2,555444,94.74%,97.08
Middle School - District A,"LastName, FirstName",71799511779,H,1,555444,98.54%,95.91
High School - District A,"LastName, FirstName",71799537799,I,1,555444,98.54%,97.66
Primary School - District A,"LastName, FirstName",71799773731,W,2,555444,91.81%,96.2
High School - District A,"LastName, FirstName",71913351351,W,2,555444,96.20%,90.94
High School - District A,"LastName, FirstName",71913551955,W,1,555444,98.54%,96.49
Middle School - District A,"LastName, FirstName",71913579973,W,2,555444,100.00%,92.4
Primary School - District A,"LastName, FirstName",71913779135,W,2,555444,100.00%,95.03
Middle School - District A,"LastName, FirstName",71915171331,W,1,555444,94.74%,92.98
Middle School - District A,"LastName, FirstName",71915193539,W,2,555444,93.57%,91.81
Middle School - District A,"LastName, FirstName",71915331333,W,2,555444,96.78%,97.08
High School - District A,"LastName, FirstName",71915777159,B,1,555444,90.94%,97.08
Primary School - District A,"LastName, FirstName",71917115531,W,1,555444,89.47%,98.54
Primary School - District A,"LastName, FirstName",71919197773,A,2,555444,99.42%,95.32
Primary School - District A,"LastName, FirstName",71919399799,W,2,555444,92.40%,97.37
High School - District A,"LastName, FirstName",71919973351,W,2,555444,92.40%,99.12
Intermediate School - District A,"LastName, FirstName",71931919557,W,2,555444,97.66%,95.32
Middle School - District A,"LastName, FirstName",71933995355,W,1,555444,94.74%,94.74
High School - District A,"LastName, FirstName",71935357351,W,1,555444,88.30%,94.15
Primary School - District A,"LastName, FirstName",71935557399,W,2,555444,95.61%,94.15
Primary School - District A,"LastName, FirstName",71937319317,I,1,555444,95.32%,94.44
High School - District A,"LastName, FirstName",71937531399,W,1,555444,93.86%,93.86
Primary School - District A,"LastName, FirstName",71939353577,W,1,555444,92.40%,95.03
Intermediate School - District A,"LastName, FirstName",71939593131,W,2,555444,100.00%,98.54
Middle School - District A,"LastName, FirstName",71953193397,W,1,555444,94.15%,92.98
High School - District A,"LastName, FirstName",71955717997,W,2,555444,88.30%,94.44
High School - District A,"LastName, FirstName",71955793757,W,1,555444,92.98%,96.2
Primary School - District A,"LastName, FirstName",71955799775,W,1,555444,98.25%,93.57
Primary School - District A,"LastName, FirstName",71957193557,I,1,555444,97.08%,97.66
Primary School - District A,"LastName, FirstName",71957535777,H,2,555444,99.71%,94.44
Primary School - District A,"LastName, FirstName",71957711379,W,1,555444,91.23%,94.44
High School - District A,"LastName, FirstName",71959151197,W,1,555444,95.32%,98.54
Intermediate School - District A,"LastName, FirstName",71959313771,W,1,555444,97.66%,94.44
Middle School - District A,"LastName, FirstName",71959337111,W,1,555444,94.15%,94.15
High School - District A,"LastName, FirstName",71959535593,W,1,555444,95.32%,99.42
High School - District A,"LastName, FirstName",71959717197,W,2,555444,94.15%,90.64
Middle School - District A,"LastName, FirstName",71959911313,W,1,555444,96.78%,99.12
High School - District A,"LastName, FirstName",71971513993,W,1,555444,97.08%,95.03
Middle School - District A,"LastName, FirstName",71971759131,W,1,555444,93.86%,96.2
High School - District A,"LastName, FirstName",71973579151,W,1,555444,99.12%,92.98
Intermediate School - District A,"LastName, FirstName",71973751371,W,1,555444,99.12%,94.15
Primary School - District A,"LastName, FirstName",71973775357,W,2,555444,98.25%,88.3
Primary School - District A,"LastName, FirstName",71973977339,W,1,555444,98.83%,100
Middle School - District A,"LastName, FirstName",71975337957,W,1,555444,95.03%,90.94
High School - District A,"LastName, FirstName",71975373737,W,1,555444,99.42%,92.4
Primary School - District A,"LastName, FirstName",71975531393,W,2,555444,94.44%,94.74
Intermediate School - District A,"LastName, FirstName",71975575953,W,2,555444,98.25%,95.32
Primary School - District A,"LastName, FirstName",71975731971,W,2,555444,97.66%,97.66
Middle School - District A,"LastName, FirstName",71975771339,W,1,555444,92.98%,98.25
Middle School - District A,"LastName, FirstName",71977335511,W,2,555444,94.74%,96.2
Primary School - District A,"LastName, FirstName",71977717733,W,1,555444,99.42%,92.98
Primary School - District A,"LastName, FirstName",71977975593,W,1,555444,95.32%,97.08
High School - District A,"LastName, FirstName",71991315573,W,2,555444,97.66%,99.42
High School - District A,"LastName, FirstName",71991731315,W,1,555444,94.15%,98.54
Primary School - District A,"LastName, FirstName",71991975339,I,2,555444,94.74%,97.66
High School - District A,"LastName, FirstName",71993537153,W,2,555444,98.25%,99.42
Intermediate School - District A,"LastName, FirstName",71995575913,W,1,555444,98.83%,97.66
Primary School - District A,"LastName, FirstName",71995795311,W,2,555444,95.91%,93.27
High School - District A,"LastName, FirstName",71997157919,W,1,555444,98.25%,100
Middle School - District A,"LastName, FirstName",71997399339,W,2,555444,90.64%,98.83
High School - District A,"LastName, FirstName",71997571733,B,2,555444,91.81%,98.54
Intermediate School - District A,"LastName, FirstName",71999359731,W,1,555444,100.00%,95.03
Middle School - District A,"LastName, FirstName",71999953755,W,2,555444,98.25%,97.66
High School - District A,"LastName, FirstName",73111139597,B,2,555444,98.54%,93.86
Middle School - District A,"LastName, FirstName",73111177159,B,1,555444,97.37%,95.61
Primary School - District A,"LastName, FirstName",73115119931,W,1,555444,97.95%,91.81
Primary School - District A,"LastName, FirstName",73115139193,W,1,555444,97.66%,99.71
Primary School - District A,"LastName, FirstName",73115151319,W,1,555444,95.61%,95.03
High School - District A,"LastName, FirstName",73115331971,W,1,555444,99.42%,98.25
Primary School - District A,"LastName, FirstName",73115739717,W,2,555444,96.78%,94.15
Intermediate School - District A,"LastName, FirstName",73117111937,W,2,555444,95.91%,91.52
Intermediate School - District A,"LastName, FirstName",73117391957,W,2,555444,95.91%,96.78
Primary School - District A,"LastName, FirstName",73117753739,W,1,555444,94.44%,94.15
Middle School - District A,"LastName, FirstName",73117931317,W,2,555444,88.30%,98.25
High School - District A,"LastName, FirstName",73119797173,W,2,555444,96.49%,98.54
High School - District A,"LastName, FirstName",73119919391,W,1,555444,96.20%,88.3
Primary School - District A,"LastName, FirstName",73119995173,W,2,555444,85.67%,97.37
Intermediate School - District A,"LastName, FirstName",73131175971,A,2,555444,98.25%,99.42
Middle School - District A,"LastName, FirstName",73131319937,W,1,555444,97.66%,98.54
High School - District A,"LastName, FirstName",73131519537,W,1,555444,92.98%,96.49
Primary School - District A,"LastName, FirstName",73131553517,W,1,555444,93.86%,86.55
High School - District A,"LastName, FirstName",73133717793,B,1,555444,95.32%,97.08
Primary School - District A,"LastName, FirstName",73133931133,W,1,555444,92.11%,95.91
Primary School - District A,"LastName, FirstName",73135913517,W,1,555444,96.20%,96.78
Primary School - District A,"LastName, FirstName",73135937557,W,2,555444,96.49%,99.42
Middle School - District A,"LastName, FirstName",73137355119,W,1,555444,88.60%,94.44
High School - District A,"LastName, FirstName",73137993311,W,2,555444,97.08%,98.83
Middle School - District A,"LastName, FirstName",73151735757,W,2,555444,94.15%,89.47
Primary School - District A,"LastName, FirstName",73153159953,W,2,555444,94.74%,96.49
Primary School - District A,"LastName, FirstName",73153979177,W,1,555444,91.23%,96.49
Middle School - District A,"LastName, FirstName",73155713977,W,2,555444,93.86%,88.6
Middle School - District A,"LastName, FirstName",73157713513,W,2,555444,97.08%,95.91
High School - District A,"LastName, FirstName",73157951997,W,2,555444,99.12%,96.78
Middle School - District A,"LastName, FirstName",73159157591,H,1,555444,95.61%,100
Primary School - District A,"LastName, FirstName",73173133979,W,2,555444,99.42%,95.03
Primary School - District A,"LastName, FirstName",73175137357,I,2,555444,94.15%,93.86
Primary School - District A,"LastName, FirstName",73175175939,W,1,555444,98.25%,93.57
Primary School - District A,"LastName, FirstName",73175339951,W,1,555444,97.66%,91.52
Primary School - District A,"LastName, FirstName",73175751751,W,1,555444,96.49%,96.78
Primary School - District A,"LastName, FirstName",73177531917,W,1,555444,95.61%,99.42
High School - District A,"LastName, FirstName",73177713533,W,1,555444,96.78%,98.54
High School - District A,"LastName, FirstName",73179197959,W,1,555444,97.08%,94.74
Middle School - District A,"LastName, FirstName",73179579177,W,2,555444,95.32%,96.49
Primary School - District A,"LastName, FirstName",73179979571,W,1,555444,98.25%,92.98
Primary School - District A,"LastName, FirstName",73191155579,W,2,555444,99.42%,96.49
Middle School - District A,"LastName, FirstName",73191975717,W,2,555444,97.08%,95.61
Primary School - District A,"LastName, FirstName",73193593391,W,1,555444,92.98%,100
Primary School - District A,"LastName, FirstName",73193937977,W,1,555444,98.54%,96.2
Middle School - District A,"LastName, FirstName",73195177339,W,1,555444,94.74%,99.12
High School - District A,"LastName, FirstName",73195753759,W,1,555444,92.40%,94.74
Primary School - District A,"LastName, FirstName",73195759739,W,2,555444,93.27%,94.74
Intermediate School - District A,"LastName, FirstName",73197197977,W,1,555444,99.42%,98.25
Middle School - District A,"LastName, FirstName",73197397913,W,2,555444,98.54%,99.71
Middle School - District A,"LastName, FirstName",73197715353,W,1,555444,95.32%,97.37
Middle School - District A,"LastName, FirstName",73197955131,W,1,555444,91.81%,94.44
Intermediate School - District A,"LastName, FirstName",73199115777,W,2,555444,97.66%,98.25
High School - District A,"LastName, FirstName",73199155155,W,2,555444,99.42%,97.37
Middle School - District A,"LastName, FirstName",73199157739,W,1,555444,99.42%,93.86
Primary School - District A,"LastName, FirstName",73199551517,W,1,555444,98.25%,98.54
Middle School - District A,"LastName, FirstName",73199993737,W,2,555444,95.32%,94.44
Primary School - District A,"LastName, FirstName",73311317317,W,2,555444,98.54%,94.15
Middle School - District A,"LastName, FirstName",73311713311,W,2,555444,98.25%,98.54
Primary School - District A,"LastName, FirstName",73313119953,W,2,555444,95.32%,97.37
Intermediate School - District A,"LastName, FirstName",73313359775,B,1,555444,97.66%,94.74
